#C-B	1_45	3_45	4_45	5_45	8_45	9_45	11_45	12_45	15_45
0	0	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0	0	0
600	0.0322581	0.0967742	0.0322581	0	0.709677	0.0967742	0	0	0.0322581
800	0	0.375	0	0.125	0.125	0.375	0	0	0
1000	0.142857	0	0	0.142857	0	0.714286	0	0	0
1200	0.0769231	0.307692	0	0.153846	0.0769231	0.384615	0	0	0
1400	0.05	0.4	0	0.15	0	0.35	0.05	0	0
1600	0.0833333	0.75	0	0.0833333	0	0	0	0.0833333	0
1800	0	0.8	0	0.1	0	0	0	0.1	0
2000	0	0.777778	0	0.111111	0	0	0	0.111111	0
2200	0	0.166667	0	0.0833333	0	0.666667	0	0	0.0833333
2400	0.0666667	0.2	0.0666667	0.0666667	0.133333	0.266667	0.133333	0.0666667	0
2600	0	0.333333	0	0.111111	0.111111	0.444444	0	0	0
2800	0	0.625	0	0	0.125	0	0.125	0.125	0
3000	0.384615	0.307692	0	0.153846	0	0.0769231	0.0769231	0	0
3200	0.6	0.15	0	0.05	0	0	0.15	0.05	0
3400	0.526316	0	0	0.105263	0	0	0.263158	0.105263	0
3600	0.478261	0	0.0434783	0.130435	0.0434783	0	0.217391	0.0869565	0
3800	0.235294	0.117647	0.0588235	0.117647	0.0588235	0	0.294118	0.117647	0
4000	0.733333	0.0666667	0	0	0.133333	0	0	0.0666667	0
4200	0.375	0.25	0	0.125	0.0625	0	0	0.0625	0.125
4400	0.357143	0.142857	0	0.214286	0	0	0.142857	0.0714286	0.0714286
4600	0.5	0.125	0	0.125	0	0	0	0.25	0
4800	0.590909	0.0454545	0.0454545	0	0	0	0.318182	0	0
5000	0.777778	0.222222	0	0	0	0	0	0	0
5200	0.538462	0.0769231	0	0	0	0	0.307692	0	0.0769231
5400	0.6	0	0	0.133333	0	0	0.266667	0	0
5600	0.636364	0.0909091	0	0.0909091	0	0	0.0909091	0.0909091	0
5800	0.583333	0	0	0.25	0	0	0.0833333	0	0.0833333
6000	0.461538	0.0769231	0	0.230769	0.0769231	0	0.153846	0	0
6200	0.666667	0.111111	0	0.111111	0	0	0.0555556	0.0555556	0
6400	0.466667	0.0666667	0	0.2	0	0.0666667	0.2	0	0
6600	0.533333	0.0666667	0	0.2	0	0	0.2	0	0
6800	0.666667	0.0833333	0	0.0833333	0	0	0.0833333	0.0833333	0
7000	0.666667	0.142857	0	0.0952381	0.047619	0	0	0.047619	0
7200	0.761905	0.047619	0	0.0952381	0	0	0	0.047619	0.047619
7400	0.666667	0	0	0.111111	0	0	0.111111	0.111111	0
7600	0.5	0.1	0	0.1	0	0	0.15	0.15	0
7800	0.727273	0	0	0	0	0.181818	0.0909091	0	0
8000	0.615385	0.0769231	0	0	0	0.153846	0	0.153846	0
8200	0.277778	0.222222	0	0.166667	0	0.0555556	0.0555556	0.166667	0.0555556
8400	0.615385	0.153846	0	0.153846	0	0	0	0	0.0769231
8600	0.777778	0	0	0.222222	0	0	0	0	0
8800	0.625	0	0	0.25	0	0	0.0625	0.0625	0
9000	0.823529	0.0588235	0	0	0	0	0	0.117647	0
9200	0.666667	0.0833333	0	0.166667	0	0	0	0	0.0833333
9400	0.7	0.2	0	0	0	0	0	0	0.1
9600	0.642857	0.214286	0	0.0714286	0	0	0	0.0714286	0
9800	0.5	0.142857	0	0.142857	0	0	0	0	0.214286
10000	0.9	0	0	0	0	0	0.1	0	0
